slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
aptos-sdk,Aptos,,"[""[Docs](https://aptos.dev/build/sdks)""]",SDK,TBD,"[""Go"","".NET"",""Python"",""Unity"",""TypeScript"",""C++"",""Rust""]","Official SDKs like TypeScript, Python, .NET, Rust, Unity, C++ and Go are used for building, testing, and debugging applications on Aptos",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
blockdaemon-sdk-free,,!offer:blockdaemon-sdk-free,,,,,,,,,,,,,,,
blockdaemon-sdk-growth,,!offer:blockdaemon-sdk-growth,,,,,,,,,,,,,,,
blockdaemon-sdk-starter,,!offer:blockdaemon-sdk-starter,,,,,,,,,,,,,,,
dfns-sdk-basic,,!offer:dfns-sdk-basic,,,,,,,,,,,,,,,
dfns-sdk-pro,,!offer:dfns-sdk-pro,,,,,,,,,,,,,,,
dfns-sdk-starter,,!offer:dfns-sdk-starter,,,,,,,,,,,,,,,
dynamic-sdk-free,,!offer:dynamic-sdk-free,,,,,,,,,,,,,,,
dynamic-sdk-growth,,!offer:dynamic-sdk-growth,,,,,,,,,,,,,,,
rockx-sdk,,!offer:rockx-sdk,,,,,,,,,,,,,,,
turnkey-sdk-free,,!offer:turnkey-sdk-free,,,,,,,,,,,,,,,
turnkey-sdk-pro,,!offer:turnkey-sdk-pro,,,,,,,,,,,,,,,
