slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across-nova,,!offer:across,,nova,,,,,,,,,,,,,,,,,,
across-one,,!offer:across,,one,,,,,,,,,,,,,,,,,,
allbridge-core-one,,!offer:allbridge-core,,one,,,,,,,,,,,,,,,,,,
altitude-one,,!offer:altitude,,one,,,,,,,,,,,,,,,,,,
arbitrum-nova,,!offer:arbitrum-native,,nova,,,,,,TRUE,,,,,,,,,,,,
arbitrum-one,,!offer:arbitrum-native,,one,,,,,,TRUE,,,,,,,,,,,,
arbitrum-sepolia,,!offer:arbitrum-native,,sepolia,,,,,,TRUE,,,,,,,,,,,,
asterizm-one,,!offer:asterizm,,one,,,,,,,,,,,,,,,,,,
axelar-one,,!offer:axelar,,one,,,,,,,,,,,,,,,,,,
bungee-exchange-one,,!offer:bungee-exchange,,one,,,,,,,,,,,,,,,,,,
celer-one,,!offer:celer,"[""[Bridge](https://cbridge.celer.network/bridge/ethereum-arbitrum/)"",""[Docs](https://cbridge-docs.celer.network/)""]",one,,,,,,,,,,,,,,,,,,
chainlink-bridge-one,,!offer:chainlink-bridge,,one,,,,,,,,,,,,,,,,,,
chainport-one,,!offer:chainport,,one,,,,,,,,,,,,,,,,,,
chainspot-one,,!offer:chainspot,,one,,,,,,,,,,,,,,,,,,
connext-nova,,!offer:connext,,nova,,,,,,,,,,,,,,,,,,
connext-one,,!offer:connext,,one,,,,,,,,,,,,,,,,,,
connext-sepolia,,!offer:connext,,sepolia,,,,,,,,,,,,,,,,,,
crosscurve-one,,!offer:crosscurve,,one,,,,,,,,,,,,,,,,,,
debridge-nova,,!offer:debridge,,nova,,,,,,,,,,,,,,,,,,
debridge-one,,!offer:debridge,,one,,,,,,,,,,,,,,,,,,
defiway-bridge-one,,!offer:defiway-bridge,,one,,,,,,,,,,,,,,,,,,
ecoportal-one,,!offer:ecoportal,,one,,,,,,,,,,,,,,,,,,
garden-one,,!offer:garden,,one,,,,,,,,,,,,,,,,,,
gas-zip-one,,!offer:gas-zip,,one,,,,,,,,,,,,,,,,,,
hyperlane-one,,!offer:hyperlane,,one,,,,,,,,,,,,,,,,,,
interport-one,,!offer:interport,,one,,,,,,,,,,,,,,,,,,
jumper-one,,!offer:jumper,,one,,,,,,,,,,,,,,,,,,
layerswap-nova,,!offer:layerswap,,nova,,,,,,,,,,,,,,,,,,
layerswap-one,,!offer:layerswap,,one,,,,,,,,,,,,,,,,,,
layerzero-nova,,!offer:layerzero,"[""[Bridge](https://docs.layerzero.network/v2/deployments/evm-chains/nova-mainnet-oft-quickstart)""]",nova,,,,,,,,,,,,,,,,,,
layerzero-one,,!offer:layerzero,"[""[Bridge](https://docs.layerzero.network/v2/deployments/chains/arbitrum)""]",one,,,,,,,,,,,,,,,,,,
mayan-one,,!offer:mayan,,one,,,,,,,,,,,,,,,,,,
meson-one,,!offer:meson,,one,,,,,,,,,,,,,,,,,,
messina-one,,!offer:messina,,one,,,,,,,,,,,,,,,,,,
okutrade-one,,!offer:okutrade,,one,,,,,,,,,,,,,,,,,,
orbiter-nova,,!offer:orbiter,,nova,,,,,,,,,,,,,,,,,,
orbiter-one,,!offer:orbiter,,one,,,,,,,,,,,,,,,,,,
owlto-nova,,!offer:owlto,,nova,,,,,,,,,,,,,,,,,,
owlto-one,,!offer:owlto,,one,,,,,,,,,,,,,,,,,,
pancakeswap-bridge-one,,!offer:pancakeswap-bridge,,one,,,,,,,,,,,,,,,,,,
pheasant-one,,!offer:pheasant,,one,,,,,,,,,,,,,,,,,,
relay-nova,,!offer:relay,,nova,,,,,,,,,,,,,,,,,,
relay-one,,!offer:relay,,one,,,,,,,,,,,,,,,,,,
rhinofi-one,,!offer:rhinofi,,one,,,,,,,,,,,,,,,,,,
routerprotocol-one,,!offer:routerprotocol,,one,,,,,,,,,,,,,,,,,,
rubic-nova,,!offer:rubic,,nova,,,,,,,,,,,,,,,,,,
rubic-one,,!offer:rubic,,one,,,,,,,,,,,,,,,,,,
safeswap-one,,!offer:safeswap,,one,,,,,,,,,,,,,,,,,,
socket-one,,!offer:socket,,one,,,,,,,,,,,,,,,,,,
squid-nova,,!offer:squid,,nova,,,,,,,,,,,,,,,,,,
squid-one,,!offer:squid,,one,,,,,,,,,,,,,,,,,,
stargate-one,,!offer:stargate,,one,,,,,,,,,,,,,,,,,,
superbridge-nova,,!offer:superbridge,,nova,,,,,,,,,,,,,,,,,,
superbridge-one,,!offer:superbridge,,one,,,,,,,,,,,,,,,,,,
superbridge-sepolia,,!offer:superbridge,,sepolia,,,,,,,,,,,,,,,,,,
symbiosis-nova,,!offer:symbiosis,,nova,,,,,,,,,,,,,,,,,,
symbiosis-one,,!offer:symbiosis,,one,,,,,,,,,,,,,,,,,,
synapse-one,,!offer:synapse,,one,,,,,,,,,,,,,,,,,,
universalx-one,,!offer:universalx,,one,,,,,,,,,,,,,,,,,,
utexo-one,,!offer:utexo,,one,,,,,,,,,,,,,,,,,,
valuerouter-one,,!offer:valuerouter,,one,,,,,,,,,,,,,,,,,,
wanchain-one,,!offer:wanchain,,one,,,,,,,,,,,,,,,,,,
wormhole-one,,!offer:wormhole,,one,,,,,,,,,,,,,,,,,,
zkbridge-nova,,!offer:zkbridge,,nova,,,,,,,,,,,,,,,,,,
zkbridge-one,,!offer:zkbridge,,one,,,,,,,,,,,,,,,,,,
