slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,,!offer:3xpl,"[""[Explore](https://3xpl.com/avalanche)""]",mainnet,,,,,,,,,,,
arkham,,!offer:arkham,"[""[Explore](https://intel.arkm.com/explorer/entity/avalanche)""]",mainnet,,,,,,,,,,,
avalanche-explorer,,!offer:avalanche-explorer,,mainnet,,,,,,,,,,,
avascan-mainnet,,!offer:avascan,,mainnet,,,,,,,,,,,
avascan-testnet,,!offer:avascan,"[""[Explore](https://testnet.avascan.info/)"",""[Docs](https://docs.avascan.info/)""]",testnet,,,,,,,,,,,
bitquery,,!offer:bitquery,"[""[Explore](https://explorer.bitquery.io/avalanche)""]",mainnet,,,,,,,,,,,
blockchair,,!offer:blockchair,"[""[Explore](https://blockchair.com/avalanche)""]",mainnet,,,,,,,,,,,
blockscan-mainnet,,!offer:blockscan,,mainnet,,,,,,,,,,,
blockscan-testnet,,!offer:blockscan,,testnet,,,,,,,,,,,
chainlens-growth,,!offer:chainlens-growth,,mainnet,,,,,,,,,,,
chainlens-pro,,!offer:chainlens-pro,,mainnet,,,,,,,,,,,
chainlens-starter,,!offer:chainlens-starter,,mainnet,,,,,,,,,,,
dex-guru,,!offer:dex-guru,"[""[Explore](https://docs.dex.guru/data/supported-chains)""]",mainnet,,,,,,,,,,,
jiffyscan-developer,,!offer:jiffyscan-developer,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-professional,,!offer:jiffyscan-professional,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-starter,,!offer:jiffyscan-starter,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
oklink,,!offer:oklink,"[""[Explore](https://www.oklink.com/avalanche)""]",mainnet,,,,,,,,,,,
okx,,!offer:okx,"[""[Explore](https://web3.okx.com/explorer/avalanche)""]",mainnet,,,,,,,,,,,
routescan,,!offer:routescan,,mainnet,,,,,,,,,,,
tokenterminal-explorer,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/avalanche)""]",mainnet,,,,,,,,,,,
uviblock-mainnet,,!offer:uviblock,"[""[Explore](https://app.uviblock.com/avalanche)""]",mainnet,,,,,,,,,,,
uviblock-testnet,,!offer:uviblock,,testnet,,,,,,,,,,,
