slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,,,,,,,
alchemy-pay,,!offer:alchemy-pay,,,,,,,,
assetux,,!offer:assetux,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
breet,,!offer:breet,,,,,,,,
bridge,,!offer:bridge,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,
coinbase-onramp,,!offer:coinbase-onramp,,,,,,,,
finchpay,,!offer:finchpay,,,,,,,,
fonbnk,,!offer:fonbnk,,,,,,,,
guardarian,,!offer:guardarian,,,,,,,,
halliday,,!offer:halliday,,,,,,,,
itez,,!offer:itez,,,,,,,,
meld,,!offer:meld,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
minisend,,!offer:minisend,,,,,,,,
monica,,!offer:monica,,,,,,,,
moonpay,,!offer:moonpay,,,,,,,,
mt-pelerin,,!offer:mt-pelerin,,,,,,,,
onmeta,,!offer:onmeta,,,,,,,,
onramp-money,,!offer:onramp-money,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
openpeer,,!offer:openpeer,,,,,,,,
paybis,,!offer:paybis,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
rampnow,,!offer:rampnow,,,,,,,,
revolut,,!offer:revolut,,,,,,,,
sardine,,!offer:sardine,,,,,,,,
simplex,,!offer:simplex,,,,,,,,
straits-x,,!offer:straits-x,,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,,,,,,,
swapped,,!offer:swapped,,,,,,,,
swipelux,,!offer:swipelux,,,,,,,,
topper,,!offer:topper,,,,,,,,
trans-fi,,!offer:trans-fi,,,,,,,,
transak,,!offer:transak,,,,,,,,
unigox,,!offer:unigox,,,,,,,,
unlimit-crypto,,!offer:unlimit-crypto,,,,,,,,
utorg,,!offer:utorg,,,,,,,,
wert,,!offer:wert,,,,,,,,
zerohash,,!offer:zerohash,,,,,,,,
