slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,,,,,,,
alixpay,,!offer:alixpay,,,,,,,,
alltrust-me,,!offer:alltrust-me,,,,,,,,
belo,,!offer:belo,,,,,,,,
bisq,,!offer:bisq,,,,,,,,
breet,,!offer:breet,,,,,,,,
bridge,,!offer:bridge,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,
monica,,!offer:monica,,,,,,,,
onramp-money,,!offer:onramp-money,,,,,,,,
rampnow,,!offer:rampnow,,,,,,,,
ravasend,,!offer:ravasend,,,,,,,,
swapin,,!offer:swapin,,,,,,,,
uniramp,,!offer:uniramp,,,,,,,,
