slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
blockdaemon-sdk-free,,!offer:blockdaemon-sdk-free,"[""[Docs](https://www.blockdaemon.com/protocols/bitcoin)""]",,,,,,,,,,,,,,
blockdaemon-sdk-growth,,!offer:blockdaemon-sdk-growth,"[""[Docs](https://www.blockdaemon.com/protocols/bitcoin)""]",,,,,,,,,,,,,,
blockdaemon-sdk-starter,,!offer:blockdaemon-sdk-starter,"[""[Docs](https://www.blockdaemon.com/protocols/bitcoin)""]",,,,,,,,,,,,,,
chainbase-sdk-developer,,!offer:chainbase-sdk-developer,,,,,,,,,,,,,,,
chainbase-sdk-free,,!offer:chainbase-sdk-free,,,,,,,,,,,,,,,
one-key-sdk,,!offer:one-key-sdk,,,,,,,,,,,,,,,
phantom-sdk,,!offer:phantom-sdk,,,,,,,,,,,,,,,
swap-kit,,!offer:swap-kit,,,,,,,,,,,,,,,
tatum-sdk-free,,!offer:tatum-sdk-free,"[""[Docs](https://docs.tatum.io/docs/bitcoin-getting-started-sdk)""]",,,,,,,,,,,,,,
tatum-sdk-pro,,!offer:tatum-sdk-pro,"[""[Docs](https://docs.tatum.io/docs/bitcoin-getting-started-sdk)""]",,,,,,,,,,,,,,
tatum-sdk-scale,,!offer:tatum-sdk-scale,"[""[Docs](https://docs.tatum.io/docs/bitcoin-getting-started-sdk)""]",,,,,,,,,,,,,,
tatum-sdk-starter,,!offer:tatum-sdk-starter,"[""[Docs](https://docs.tatum.io/docs/bitcoin-getting-started-sdk)""]",,,,,,,,,,,,,,
