slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
1rpc-mainnet-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-personal-recent-state,,!offer:1rpc-personal-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-starter-recent-state,,!offer:1rpc-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-full-archive,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/cronos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-recent-state,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/cronos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer-recent-state,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/cronos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-full-archive,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/cronos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-recent-state,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/cronos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-free-recent-state,,!offer:drpc-free-recent-state,"[""[Website](https://drpc.org?ref=7100cc)"",""[Docs](https://drpc.org/chainlist/cronos-mainnet-rpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-pay-as-you-go-full-archive,,!offer:drpc-pay-as-you-go-full-archive,"[""[Buy](https://drpc.org?ref=7100cc)"",""[Docs](https://drpc.org/chainlist/cronos-mainnet-rpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,,!offer:getblock-free-recent-state,"[""[Website](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://getblock.io/nodes/cro/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-recent-state,,!offer:getblock-pro-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://getblock.io/nodes/cro/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
