slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,,
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/flare)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/flare)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/flare)""]",mainnet,,,,,,,,,
flaremetrics-mainnet,Flare Metrics,,"[""[Dashboard](https://flaremetrics.io/)""]",mainnet,"[""FTSO Data"",""Staking Rewards"",""Vote Power"",""Validator Activity"",""DeFi Metrics""]",TRUE,,,$0,,Free,TRUE,
flarespace-mainnet,Flare.Space,,"[""[Dashboard](https://flare.space/)""]",mainnet,"[""Delegation Metrics"",""Staking Metrics"",""Smart Contracts"",""Tokens"",""Cross-Chain Activity""]",TRUE,,,$0,,Free,TRUE,
flaresystems-mainnet,Flare Systems,,"[""[Dashboard](https://flare-systems-explorer.flare.network/)""]",mainnet,"[""FTSO Data"",""Staking Rewards"",""Epoch Status"",""Vote Power"",""Validator Activity""]",TRUE,,,$0,,Free,TRUE,
