slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across-mainnet,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,,
allbridge-core-mainnet,,!offer:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,,
altitude-optimism,,!offer:altitude,,mainnet,,,,,,,,,,,,,,,,,,
asterizm-optimism,,!offer:asterizm,,mainnet,,,,,,,,,,,,,,,,,,
axelar-optimism,,!offer:axelar,,mainnet,,,,,,,,,,,,,,,,,,
celer-cbridge,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,,
chainlink-bridge-optimism,,!offer:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,,
chainport-optimism,,!offer:chainport,,mainnet,,,,,,,,,,,,,,,,,,
chainspot-optimism,,!offer:chainspot,,mainnet,,,,,,,,,,,,,,,,,,
connext-optimism,,!offer:connext,,mainnet,,,,,,,,,,,,,,,,,,
crosscurve-optimism,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
debridge-optimism,,!offer:debridge,,mainnet,,,,,,,,,,,,,,,,,,
defiway-bridge-optimism,,!offer:defiway-bridge,,mainnet,,,,,,,,,,,,,,,,,,
ecoportal-mainnet,,!offer:ecoportal,,mainnet,,,,,,,,,,,,,,,,,,
hop-mainnet,,!offer:hop,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
interport-optimism,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
layerzero-mainnet,,!offer:layerzero,,mainnet,,,,,,,,,,,,,,,,,,
mayan-optimism,,!offer:mayan,,mainnet,,,,,,,,,,,,,,,,,,
meson-optimism,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
messina-optimism,,!offer:messina,,mainnet,,,,,,,,,,,,,,,,,,
okutrade-optimism,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,,
optimism-standart,Optimism,,"[""[Bridge](https://app.optimism.io/bridge/deposit)"",""[Docs](https://docs.optimism.io/app-developers/guides/bridging/standard-bridge)""]",mainnet,Cross‑chain Messaging,"1-3 min (from ETH to OP Mainnet),7 days (OP Mainnet to ETH)",,TRUE,"[""Discord"",""Email""]",FALSE,"[""Bridge API"",""GraphQL""]","[""Blockscout"",""Optimism Explorer""]","[""Native token bridge with 7-day withdrawal delay, security via Ethereum fraud proofs""]","[""ETH"",""ERC‑20""]",Gas Fee on L1,TRUE,7-day L2 to L1 withdrawal challenge period required,,Decentralized,"[""TypeScript""]","[""Ethereum"",""Optimism"",""Base"",""Unichain"",""Ink"",""World Chain"",""Mode Mainnet"",""Zora"",""Redstone"",""Fraxtal"",""Lisk"",""Arena Z""]",
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
owlto-mainnet,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
pheasant-optimism,,!offer:pheasant,,mainnet,,,,,,,,,,,,,,,,,,
rhinofi-mainnet,,!offer:rhinofi,,mainnet,,,,,,,,,,,,,,,,,,
routerprotocol-optimism,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
safeswap-optimism,,!offer:safeswap,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
superbridge-mainnet,,!offer:superbridge,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis-mainnet,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
synapse-mainnet,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,,
transporter-optimism,,!offer:transporter,,mainnet,,,,,,,,,,,,,,,,,,
universalx-optimism,,!offer:universalx,,mainnet,,,,,,,,,,,,,,,,,,
utexo-mainnet,,!offer:utexo,,mainnet,,,,,,,,,,,,,,,,,,
valuerouter-optimism,,!offer:valuerouter,,mainnet,,,,,,,,,,,,,,,,,,
wanchain-optimism,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
wormhole-optimism,,!offer:wormhole,,mainnet,,,,,,,,,,,,,,,,,,
zkbridge-optimism,,!offer:zkbridge,,mainnet,,,,,,,,,,,,,,,,,,
