slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred,tag
blockscan-mainnet,,!offer:blockscan,,mainnet,,,,,,,,,,,
blockscan-testnet,,!offer:blockscan,,testnet,,,,,,,,,,,
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://explorer.optimism.io/)""]",mainnet,,,,,,,,,,,
blockscout-testnet,,!offer:blockscout,"[""[Explore](https://testnet-explorer.optimism.io/)""]",testnet,,,,,,,,,,,
chainlens-growth,,!offer:chainlens-growth,,mainnet,,,,,,,,,,,
chainlens-pro,,!offer:chainlens-pro,,mainnet,,,,,,,,,,,
chainlens-starter,,!offer:chainlens-starter,,mainnet,,,,,,,,,,,
etherscan-mainnet,,!offer:etherscan,"[""[Explore](https://explorer.optimism.io/)""]",mainnet,,,,,,,,,,,
etherscan-testnet,,!offer:etherscan,"[""[Explore](https://testnet-explorer.optimism.io/)""]",testnet,,,,,,,,,,,
superchain-mainnet,Routescan,,"[""[Explore](https://thesuperscan.io/)""]",mainnet,Custom,"[""Addresses"",""Transactions"",""Blocks"",""Deployed contracts""]","[""Unified Ecosystem Pages""]","[""REST""]",,"[""Address"",""Transaction"",""Block"",""Hash""]",TRUE,TRUE,Free,FALSE,
superchain-testnet,Routescan,,"[""[Explore](https://testnet.thesuperscan.io/)""]",testnet,Custom,"[""Addresses"",""Transactions"",""Blocks"",""Deployed contracts""]","[""Unified Ecosystem Pages""]","[""REST""]",,"[""Address"",""Transaction"",""Block"",""Hash""]",TRUE,TRUE,Free,FALSE,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,"[""[Explore](https://docs.tenderly.co/developer-explorer?mtm_campaign=ext-docs&mtm_kwd=optimism)""]",mainnet,,,,,,,,,,,
tenderly-explorer-testnet,,!offer:tenderly-explorer,"[""[Explore](https://docs.tenderly.co/developer-explorer?mtm_campaign=ext-docs&mtm_kwd=optimism)""]",testnet,,,,,,,,,,,
tokenterminal-explorer-mainnet,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/optimism)""]",mainnet,,,,,,,,,,,
