slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
base-wallet-mainnet,,!offer:base-wallet,,,,,,,,,,,,,,,,,,,
binance-wallet-mainnet,,!offer:binance-wallet,,,,,,,,,,,,,,,,,,,
bitget-wallet-mainnet,,!offer:bitget-wallet,,,,,,,,,,,,,,,,,,,
foxwallet-mainnet,,!offer:foxwallet,,,,,,,,,,,,,,,,,,,
metamask-mainnet,,!offer:metamask,,,,,,,,,,,,,,,,,,,
okxwallet-mainnet,,!offer:okxwallet,,,,,,,,,,,,,,,,,,,
phantom-mainnet,,!offer:phantom,,,,,,,,,,,,,,,,,,,
rainbow-mainnet,,!offer:rainbow,,,,,,,,,,,,,,,,,,,
safe-mainnet,,!offer:safe-gnosis,,,,,,,,,,,,,,,,,,,
top-nod-mainnet,,!offer:top-nod,,,,,,,,,,,,,,,,,,,
trustwallet-mainnet,,!offer:trustwallet,,,,,,,,,,,,,,,,,,,
