slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across-mainnet,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,,
allbridge-core-polygon,,!offer:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,,
altitude-mainnet,,!offer:altitude,,mainnet,,,,,,,,,,,,,,,,,,
arianee-mainnet,Arianee,,"[""[Protocol](https://www.arianee.org)"",""[Docs](https://docs.arianee.org/)""]",mainnet,Tokenized Digital Product Passports,,,FALSE,"[""Discord"",""Email"",""Twitter""]",FALSE,"[""Tokenization API"",""Ownership Management""]","[""On-chain event tracking""]","[""Multi-EVM compatible"", ""dynamic NFTs"", ""product lifecycle tracking""]","[""ERC-721""]",Gas Fee,TRUE,"""Community governance ($ARIA20), Data integrity and ownership transparency""","[""Yes""]",Decentralized,"[""JavaScript SDK""]",,
asterizm-mainnet,,!offer:asterizm,,mainnet,,,,,,,,,,,,,,,,,,
axelar-mainnet,,!offer:axelar,,mainnet,,,,,,,,,,,,,,,,,,
celer-polygon,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,,
chainlink-bridge-polygon,,!offer:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,,
chainport-polygon,,!offer:chainport,,mainnet,,,,,,,,,,,,,,,,,,
chainspot-mainnet,,!offer:chainspot,,mainnet,,,,,,,,,,,,,,,,,,
connext-mainnet,,!offer:connext,,mainnet,,,,,,,,,,,,,,,,,,
crosscurve-polygon,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
debridge-mainnet,,!offer:debridge,,mainnet,,,,,,,,,,,,,,,,,,
defiway-bridge-polygon,,!offer:defiway-bridge,,mainnet,,,,,,,,,,,,,,,,,,
ecoportal-mainnet,,!offer:ecoportal,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
interport-polygon,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-polygon,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
layerzero-mainnet,,!offer:layerzero,"[""[Docs](https://docs.layerzero.network/v2/deployments/evm-chains/polygon-mainnet-oft-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,,
lifi-mainnet,,!offer:lifi,,mainnet,,,,,,,,,,,,,,,,,,
mayan-mainnet,,!offer:mayan,,mainnet,,,,,,,,,,,,,,,,,,
meson-mainnet,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
messina-mainnet,,!offer:messina,,mainnet,,,,,,,,,,,,,,,,,,
okutrade-polygon,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
owlto-polygon,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
pheasant-mainnet,,!offer:pheasant,,mainnet,,,,,,,,,,,,,,,,,,
rango-mainnet,,!offer:rango,,mainnet,,,,,,,,,,,,,,,,,,
rhinofi-polygon,,!offer:rhinofi,,mainnet,,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,,
rubic-polygon,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
safeswap-mainnet,,!offer:safeswap,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-polygon,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis-polygon,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
synapse-polygon,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,,
transporter-polygon,,!offer:transporter,,mainnet,,,,,,,,,,,,,,,,,,
universalx-polygon,,!offer:universalx,,mainnet,,,,,,,,,,,,,,,,,,
utexo-mainnet,,!offer:utexo,,mainnet,,,,,,,,,,,,,,,,,,
valuerouter-polygon,,!offer:valuerouter,,mainnet,,,,,,,,,,,,,,,,,,
wanchain-mainnet,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
wormhole-mainnet,,!offer:wormhole,,mainnet,,,,,,,,,,,,,,,,,,
zkbridge-mainnet,,!offer:zkbridge,,mainnet,,,,,,,,,,,,,,,,,,
