slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscan-mainnet,,!offer:blockscan,,mainnet,,,,,,,,,,,
blockscan-testnet,,!offer:blockscan,,amoy,,,,,,,,,,,
blockscout-mainnet,,!offer:blockscout,"[""[Explorer](https://polygon.blockscout.com/)""]",mainnet,,,,,,,,,,,
chainlens-growth,,!offer:chainlens-growth,,mainnet,,,,,,,,,,,
chainlens-pro,,!offer:chainlens-pro,,mainnet,,,,,,,,,,,
chainlens-starter,,!offer:chainlens-starter,,mainnet,,,,,,,,,,,
jiffyscan-developer,,!offer:jiffyscan-developer,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-professional,,!offer:jiffyscan-professional,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
jiffyscan-starter,,!offer:jiffyscan-starter,"[""[Explore](https://jiffyscan.xyz/pricing)""]",mainnet,,,,,,,,,,,
oklink-mainnet,,!offer:oklink,"[""[Explorer](https://www.oklink.com/polygon)""]",mainnet,,,,,,,,,,,
okxexplorer-mainnet,,!offer:okx,"[""[Explorer](https://web3.okx.com/explorer/polygon)""]",mainnet,,,,,,,,,,,
polygonscan-amoy,,!offer:polygonscan,"[""[Explorer](https://amoy.polygonscan.com/)""]",amoy,,,,,,,,,,,
polygonscan-mainnet,,!offer:polygonscan,,mainnet,,,,,,,,,,,
tokenterminal-explorer-mainnet,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/polygon)""]",mainnet,,,,,,,,,,,
wormholescan-mainnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/)""]",mainnet,,,,,,,,,,,
wormholescan-testnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/?network=TESTNET)""]",testnet,,,,,,,,,,,
