slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,,,,,,,
alixpay,,!offer:alixpay,,,,,,,,
alltrust-me,,!offer:alltrust-me,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
belo,,!offer:belo,,,,,,,,
bleap,,!offer:bleap,,,,,,,,
breet,,!offer:breet,,,,,,,,
bridge,,!offer:bridge,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,
bvnk,,!offer:bvnk,,,,,,,,
coinbase-onramp,,!offer:coinbase-onramp,,,,,,,,
coinflow,,!offer:coinflow,,,,,,,,
finchpay,,!offer:finchpay,,,,,,,,
fonbnk,,!offer:fonbnk,,,,,,,,
guardarian,,!offer:guardarian,,,,,,,,
itez,,!offer:itez,,,,,,,,
madhouse-wallet,,!offer:madhouse-wallet,,,,,,,,
meld,,!offer:meld,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
meso,,!offer:meso,,,,,,,,
minisend,,!offer:minisend,,,,,,,,
monerium,,!offer:monerium,,,,,,,,
moonpay,,!offer:moonpay,,,,,,,,
onmeta,,!offer:onmeta,,,,,,,,
onramp-money,,!offer:onramp-money,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
paybis,,!offer:paybis,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
rampnow,,!offer:rampnow,,,,,,,,
sardine,,!offer:sardine,,,,,,,,
simplex,,!offer:simplex,,,,,,,,
straits-x,,!offer:straits-x,,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,,,,,,,
swapped,,!offer:swapped,,,,,,,,
swipelux,,!offer:swipelux,,,,,,,,
switchere,,!offer:switchere,,,,,,,,
topper,,!offer:topper,,,,,,,,
trans-fi,,!offer:trans-fi,,,,,,,,
transak,,!offer:transak,,,,,,,,
unigox,,!offer:unigox,,,,,,,,
uniramp,,!offer:uniramp,,,,,,,,
utorg,,!offer:utorg,,,,,,,,
wert,,!offer:wert,,,,,,,,
