slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis,,!offer:artemis,"[""[Dashboard](https://classic.artemis.ai/asset/scroll)""]",mainnet,,,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
cryptoquant-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/scroll/summary)""]",mainnet,,,,,,,,,
cryptoquant-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/scroll/summary)""]",mainnet,,,,,,,,,
cryptoquant-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/scroll/summary)""]",mainnet,,,,,,,,,
cryptoquant-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/scroll/summary)""]",mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,,
dexscreener,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/scroll)""]",mainnet,,,,,,,,,
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/scroll)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/scroll)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/scroll)""]",mainnet,,,,,,,,,
growthepie,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/scroll)""]",mainnet,,,,,,,,,
l2beat,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/scroll)""]",mainnet,,,,,,,,,
messari,,!offer:messari,"[""[Dashboard](https://messari.io/project/scroll)""]",mainnet,,,,,,,,,
tokenterminal,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/scroll)""]",mainnet,,,,,,,,,
