slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis-mainnet,,!offer:artemis,"[""[Dashboard](https://classic.artemis.ai/asset/solana)""]",mainnet,,,,,,,,,
blockworks-mainnet,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/solana)""]",mainnet,,,,,,,,,
bubblemaps-mainnet,,!offer:bubblemaps,"[""[Dashboard](https://v2.bubblemaps.io/solana)""]",mainnet,,,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
coinglass-mainnet,,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/SOL)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/sol/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/sol/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/sol/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/sol/summary)""]",mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/solana)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/solana)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/solana)""]",mainnet,,,,,,,,,
dexscreener-mainnet,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/solana)""]",mainnet,,,,,,,,,
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/solana)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/solana)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/solana)""]",mainnet,,,,,,,,,
glassnode-mainnet,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=SOL)""]",mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/solana)""]",mainnet,,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=solana)""]",mainnet,,,,,,,,,
santiment-business-max,,!offer:santiment-business-max,,mainnet,,,,,,,,,
santiment-business-pro,,!offer:santiment-business-pro,,mainnet,,,,,,,,,
santiment-free,,!offer:santiment-free,,mainnet,,,,,,,,,
santiment-sanbase-max,,!offer:santiment-sanbase-max,,mainnet,,,,,,,,,
santiment-sanbase-pro,,!offer:santiment-sanbase-pro,,mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/solana)""]",mainnet,,,,,,,,,
