slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
chainspect-mainnet,,!offer:chainspect,"[""[Dashboard](https://chainspect.app/chain/somnia)""]",mainnet,"[""Real-time TPS"",""Max TPS"",""Transaction Volume"",""Block Time"",""Finality"",""Total Transactions"",""Nakamoto Coefficient"",""Validators"",""Financial Metrics""]",,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
coinglass-mainnet,,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/SOMI)""]",mainnet,,,,,,,,,
coinmarketcap-basic,,!offer:coinmarketcap-basic,,mainnet,,,,,,,,,
coinmarketcap-enterprise,,!offer:coinmarketcap-enterprise,,mainnet,,,,,,,,,
coinmarketcap-hobbyist,,!offer:coinmarketcap-hobbyist,,mainnet,,,,,,,,,
coinmarketcap-professional,,!offer:coinmarketcap-professional,,mainnet,,,,,,,,,
coinmarketcap-standard,,!offer:coinmarketcap-standard,,mainnet,,,,,,,,,
coinmarketcap-startup,,!offer:coinmarketcap-startup,,mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
laevitas-mainnet-enterprise,,!offer:laevitas-enterprise,,mainnet,,,,,,,,,
laevitas-mainnet-free,,!offer:laevitas-free,,mainnet,,,,,,,,,
laevitas-mainnet-premium,,!offer:laevitas-premium,,mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/somnia)""]",mainnet,,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=somnia)""]",mainnet,,,,,,,,,
santiment-mainnet-business-max,,!offer:santiment-business-max,,mainnet,,,,,,,,,
santiment-mainnet-business-pro,,!offer:santiment-business-pro,,mainnet,,,,,,,,,
santiment-mainnet-free,,!offer:santiment-free,,mainnet,,,,,,,,,
santiment-mainnet-sanbase-max,,!offer:santiment-sanbase-max,,mainnet,,,,,,,,,
santiment-mainnet-sanbase-pro,,!offer:santiment-sanbase-pro,,mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/somnia)""]",mainnet,,,,,,,,,
