slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alltrust-me,,!offer:alltrust-me,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
bridge,,!offer:bridge,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,
coinflow,,!offer:coinflow,,,,,,,,
fonbnk,,!offer:fonbnk,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
moonpay,,!offer:moonpay,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,,,,,,,
swipelux,,!offer:swipelux,,,,,,,,
transak,,!offer:transak,,,,,,,,
