slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alixpay,,!offer:alixpay,,,,,,,,
alltrust-me,,!offer:alltrust-me,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
breet,,!offer:breet,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,
fonbnk,,!offer:fonbnk,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
moonpay,,!offer:moonpay,"[""[Buy](https://www.moonpay.com/buy/ton)""]",,,,,,,
onmeta,,!offer:onmeta,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
swipelux,,!offer:swipelux,,,,,,,,
transak,,!offer:transak,"[""[Buy](https://transak.com/buy/ton)""]",,,,,,,
unigox,,!offer:unigox,,,,,,,,
