slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,,,,,,,
alixpay,,!offer:alixpay,,,,,,,,
alltrust-me,,!offer:alltrust-me,,,,,,,,
belo,,!offer:belo,,,,,,,,
breet,,!offer:breet,,,,,,,,
bridge,,!offer:bridge,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,
fonbnk,,!offer:fonbnk,,,,,,,,
monica,,!offer:monica,,,,,,,,
straits-x,,!offer:straits-x,,,,,,,,
swapin,,!offer:swapin,,,,,,,,
swipelux,,!offer:swipelux,,,,,,,,
unigox,,!offer:unigox,,,,,,,,
