slug,provider,offer,actionButtons,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
alchemy-faucet,Alchemy,,"[""[Faucet](https://www.alchemy.com/faucets)""]",FALSE,TRUE,0.001 ETH,$0,FALSE,"[""Requires mainnet activity"",""Requires to have a low enough existing balance since wallets with a significant amount of testnet tokens are not eligible for additional claims""]",0.1 ETH,24h,
algorand-dispenser-algo,Algorand,,"[""[Faucet](https://lora.algokit.io/testnet/fund)""]",FALSE,TRUE,,$0,FALSE,"[""Required not to abuse it by requesting more Algos than needed for testing""]",5 Algo,,
algorand-dispenser-usdc,Algorand,,"[""[Faucet](https://lora.algokit.io/testnet/fund)""]",FALSE,TRUE,,$0,FALSE,"[""Required not to abuse it by requesting more USDC than needed for testing""]",100 USDC,,
astar-faucet,Astar,,"[""[Faucet](https://portal.astar.network/astar/assets)"",""[Docs](https://docs.astar.network/docs/build/environment/faucet/)""]",TRUE,TRUE,,$0,FALSE,,,,
automata-faucet,Automata,,"[""[Faucet](https://l2faucet.com/automata)"",""[Docs](https://docs.ata.network)""]",TRUE,FALSE,,$0,FALSE,,,,
chainlink-faucet,Chainlink,,"[""[Faucet](https://faucets.chain.link/)""]",TRUE,FALSE,1 LINK,$0,FALSE,"[""One request for native tokens at time""]",0.5 ETH,2h,
chainlink-faucet-link,Chainlink,,"[""[Faucet](https://faucets.chain.link/)""]",TRUE,FALSE,,$0,FALSE,"[""Provides LINK""]",25 LINK,2h,
chainstack-faucet,Chainstack,,"[""[Faucet](https://faucet.chainstack.com/)""]",TRUE,FALSE,0.08 ETH,$0,FALSE,"[""Requires Chaistack API key""]",0.08 ETH,24h,
circle-faucet-eurc,Circle,,"[""[Faucet](https://faucet.circle.com/)""]",FALSE,TRUE,,$0,FALSE,,20 EURC,2h,
circle-faucet-usdc,Circle,,"[""[Faucet](https://faucet.circle.com/)""]",FALSE,TRUE,,$0,FALSE,,20 USDC,2h,
core-faucet,Core DAO,Core Testnet Faucet,"[""[Faucet](https://scan.test2.btcs.network/faucet)"",""[Docs](https://docs.coredao.org/docs/Dev-Guide/core-faucet)""]",FALSE,TRUE,,$0,FALSE,"[""Supports Core Testnet2 (1114)""]",1 tCORE2,24h,
ethglobal-faucet,EthGlobal,,"[""[Faucet](https://ethglobal.com/faucet)""]",TRUE,FALSE,,$69/$99/$129,FALSE,"[""Available only on paid plans""]",0.05 ETH,24h,
getblock-faucet,GetBlock,,"[""[Faucet](https://getblock.io/faucet/)""]",TRUE,FALSE,0.005 ETH,$0,FALSE,,0.005 ETH,,
ghost-faucet,GHOST,,"[""[Faucet](https://ghostchain.io/faucet/)""]",FALSE,FALSE,,$0,FALSE,,,,
google-cloud-faucet,Google Cloud,,"[""[Faucet](https://cloud.google.com/application/web3/faucet/ethereum/sepolia)""]",FALSE,TRUE,,$0,FALSE,,0.001 ETH,,
